"address","price","postal_code","residence_type","floor_size","number_of_bathrooms","number_of_bedrooms","street_address","latitude","longitude","year_built","garage","pool","house_type"
"100 Lincoln St #202, Boston, MA 02135 - Condo For Sale","799000","2135","SingleFamilyResidence","901","2","2","100 Lincoln St #202","42.358409","-71.142345","2023","0","No","condominium"
"100 Lincoln St #208, Boston, MA 02135 - Condo For Sale","850000","2135","SingleFamilyResidence","915","2","2","100 Lincoln St #208","42.358409","-71.142345","2023","1","No","condominium"
"100 Lincoln St #301, Boston, MA 02135 - Condo For Sale","888000","2135","SingleFamilyResidence","937","2","2","100 Lincoln St #301","42.358409","-71.142345","2023","1","No","condominium"
"150 Staniford St #523, Boston, MA 02114 - Condo For Sale","589000","2114","SingleFamilyResidence","915","1","2","150 Staniford St #523","42.364127","-71.063662","1997","1","community-pool","condominium"
"104 Train St #3, Boston, MA 02122 - Condo For Sale","579900","2122","SingleFamilyResidence","1196","1","3","104 Train St #3","42.292329","-71.05374","1910","0","No","condominium"
"9 Greenmount St #2, Boston, MA 02125 - Condo For Sale","659000","2125","SingleFamilyResidence","896","2","2","9 Greenmount St #2","42.31024","-71.058515","2023","1","No","condominium"
"108 Woodley Ave, West Roxbury, MA 02132 - Single-Family Home For Sale","850000","2132","SingleFamilyResidence","2147","2","3","108 Woodley Ave","42.262856","-71.150168","1960","0","0.14 acres","single-family-home"
"7 Parker St #2, Boston, MA 02129 - Condo For Sale","749900","2129","SingleFamilyResidence","960","2","2","7 Parker St #2","42.38392","-71.078812","2022","0","community-pool","condominium"
"2 Lagrange St #11, West Roxbury, MA 02132 - Condo For Sale","340000","2132","SingleFamilyResidence","570","1","2","2 Lagrange St #11","42.272968","-71.144086","1955","0","No","condominium"
"411 E 3rd St #1, Boston, MA 02127 - Condo For Sale","1275000","2127","SingleFamilyResidence","2349","3","2","411 E 3rd St #1","42.336215","-71.043694","2023","0","No","condominium"
"55 Commercial Wharf #8, Boston, MA 02110 - Condo For Sale","3890000","2110","SingleFamilyResidence","2275","2 / 1","2","55 Commercial Wharf #8","42.362009","-71.049631","1832","2","0.05 acres","condominium"
"20 Monterey Ave, Boston, MA 02126 - Single-Family Home For Sale","575000","2126","SingleFamilyResidence","2316","2","4","20 Monterey Ave","42.275749","-71.098362","1960","0","0.17 acres","single-family-home"
"64 Baxter St #1, Boston, MA 02127 - Condo For Sale","949000","2127","SingleFamilyResidence","1404","2 / 1","2","64 Baxter St #1","42.335658","-71.053772","2024","1","No","condominium"
"177 H St #1, Boston, MA 02127 - Home For Sale","499000","2127","SingleFamilyResidence","790","1 / 1","1","177 H St #1","42.331795","-71.041594","1890","0","0.02 acres","home"
"150 Seaport Blvd #15F, Boston, MA 02210 - Condo For Sale","7600000","2210","SingleFamilyResidence","2610","3 / 1","3","150 Seaport Blvd #15F","42.350754","-71.042766","2022","2","community-pool","condominium"
"201 Washington St #1, Boston, MA 02135 - Condo For Sale","1444900","2135","SingleFamilyResidence","1378","2 / 1","2","201 Washington St #1","42.346919","-71.14757","2023","0","community-pool","condominium"
"1313 Washington St #413, Boston, MA 02118 - Condo For Sale","850000","2118","SingleFamilyResidence","945","1","1","1313 Washington St #413","42.341961","-71.068408","2002","1","0.02 acres","condominium"
"67 Montgomery St #1, Boston, MA 02116 - Condo For Sale","1650000","2116","SingleFamilyResidence","1595","2 / 1","3","67 Montgomery St #1","42.343597","-71.074372","1870","0","0.03 acres","condominium"
"5 Meyer St #5, Boston, MA 02131 - Condo For Sale","1169000","2131","SingleFamilyResidence","2300","3 / 1","4","5 Meyer St #5","42.289033","-71.115173","2023","2","0.53 acres","condominium"
"100 Shawmut Ave #804, Boston, MA 02118 - Condo For Sale","1841900","2118","SingleFamilyResidence","1396","2","2","100 Shawmut Ave #804","42.346582","-71.065599","2021","2","No","condominium"
"111 Perkins St #186, Boston, MA 02130 - Condo For Sale","750000","2130","SingleFamilyResidence","1310","2","2","111 Perkins St #186","42.322493","-71.115654","1963","1","community-pool","condominium"
"25 W 9th St #25, South Boston, MA 02127 - Condo For Sale","1675000","2127","SingleFamilyResidence","2498","3 / 1","3","25 W 9th St #25","42.376351","-71.052692","1987","0","No","condominium"
"17 Cazenove St #306, Boston, MA 02116 - Condo For Sale","549000","2116","SingleFamilyResidence","417","1","1","17 Cazenove St #306","42.347209","-71.072983","1890","0","0.01 acres","condominium"
"197 8th St #221, Boston, MA 02129 - Home For Sale","1650000","2129","SingleFamilyResidence","2152","3","2","197 8th St #221","42.333438","-71.05183","1935","2","0.05 acres","home"
"274 Clarendon St #10, Boston, MA 02116 - Condo For Sale","559000","2116","SingleFamilyResidence","638","1","1","274 Clarendon St #10","42.353621","-71.076821","1910","0","0.01 acres","condominium"
"74 Tyler St #B, Boston, MA 02111 - Condo For Sale","399900","2111","SingleFamilyResidence","511","1","1","74 Tyler St #B","42.349206","-71.061235","1890","0","0.01 acres","condominium"
"375 Shawmut Ave, Boston, MA 02118 - Single-Family Home For Sale","1599000","2118","SingleFamilyResidence","1876","1 / 1","4","375 Shawmut Ave","42.341195","-71.072552","1890","0","0.02 acres","multi-story"
"1 Franklin St #3110, Boston, MA 02110 - Home For Sale","2360000","2110","SingleFamilyResidence","1281","2","2","1 Franklin St #3110","42.356317","-71.059557","2016","1","community-pool","home"
"Open House: 12:00 PM - 1:30 PM at 1 Franklin St #3110","2360000","","v","","","","","","","","","",""
"45 Province St #2702, Boston, MA 02108 - Home For Sale","2250000","2108","SingleFamilyResidence","1636","2","2","45 Province St #2702","42.357328","-71.059945","2009","1","0.04 acres","home"
"90 Oakmere St, Boston, MA 02132 - Single-Family Home For Sale","569900","2132","SingleFamilyResidence","1330","2","2","90 Oakmere St","42.269733","-71.169438","1928","1","0.11 acres","single-family-home"
"240 Devonshire St #5903, Boston, MA 02110 - Condo For Sale","3050000","2110","SingleFamilyResidence","1379","2","2","240 Devonshire St #5903","42.35458","-71.057112","2023","1","community-pool","condominium"
"180 Telford St #U409, Brighton, MA 02135 - Condo For Sale","625000","2135","SingleFamilyResidence","736","1","1","180 Telford St #U409","42.362544","-71.139341","2018","1","No","condominium"
"1 Franklin St #4602, Boston, MA 02110 - Condo For Sale","6450000","2110","SingleFamilyResidence","3172","3 / 1","3","1 Franklin St #4602","42.355715","-71.059183","2016","2","No","condominium"
"396 Beacon St #D, Boston, MA 02116 - Land For Sale","275000","2116","SingleFamilyResidence","0","0","0","396 Beacon St #D","42.352249","-71.085316","not available","0","No","land"
"380 Harrison Ave #1022, Boston, MA 02118 - Condo For Sale","1699000","2118","SingleFamilyResidence","1350","2","2","380 Harrison Ave #1022","42.343847","-71.063695","2021","1","community-pool","condominium"
"380 Harrison Ave. #UNIT 14C, Boston, MA 02118 - Condo For Sale","1999000","2118","SingleFamilyResidence","1356","2 / 1","2","380 Harrison Ave. #UNIT 14C","42.343847","-71.063695","2021","1","community-pool","condominium"
